type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
entry,2025-03-16 01:45:00,BUY,2.5247,3443279848330.239,434662431653.9677,173864972.6615871,1216880943658.4473,2.4540084,2.7367748000000005,,,
exit,2025-03-16 04:30:00,,2.5022,3443279848330.239,,172315496.7298385,1573897263228.255,,,-77646112084.1601,-17.863543391293987,signal_reversal
entry,2025-03-16 04:30:00,SELL,2.5022,4492895575402.928,562106165438.6604,224842466.17546418,1573672420762.0793,2.5722616000000005,2.2920152000000003,,,
exit,2025-03-16 07:15:00,,2.5247,4492895575402.928,,226864269.18439543,2034461571484.9897,,,-101317014715.75012,-18.0245336104228,signal_reversal
entry,2025-03-16 07:15:00,BUY,2.5247,5755879260011.064,726593418387.4968,290637367.35499877,2034170934117.6348,2.4540084,2.7367748000000005,,,
exit,2025-03-16 08:15:00,,2.5022,5755879260011.064,,288047221.68799376,2630969021933.195,,,-129795330571.93674,-17.863543391293984,signal_reversal
entry,2025-03-16 08:15:00,SELL,2.5022,7510445156642.681,939631793547.5658,375852717.4190263,2630593169215.776,2.5722616000000005,2.2920152000000003,,,
exit,2025-03-16 12:00:00,,2.5248,7510445156642.681,,379247438.6298288,3400109654784.5894,,,-170115307978.75238,-18.10446487091338,signal_reversal
entry,2025-03-16 12:00:00,BUY,2.5248,9619176780012.494,1214324876708.777,485729950.68351084,3399623924833.906,2.4541055999999997,2.7368832000000003,,,
exit,2025-03-16 14:00:00,,2.502,9619176780012.494,,481343606.0718252,4394150227352.3247,,,-219798574190.3582,-18.10047528517123,signal_reversal
entry,2025-03-16 14:00:00,SELL,2.502,12544679191938.785,1569339366911.5417,627735746.7646167,4393522491605.56,2.572056,2.291832,,,
exit,2025-03-16 15:00:00,,2.5248,12544679191938.785,,633456120.4761409,5676209716820.42,,,-286652141696.6824,-18.265784172662,signal_reversal
entry,2025-03-16 15:00:00,BUY,2.5248,16058442300437.938,2027217756007.2852,810887102.402914,5675398829718.017,2.4541055999999997,2.7368832000000003,,,
exit,2025-03-16 15:15:00,,2.502,16058442300437.938,,803564452.7139144,7335680536822.601,,,-366936048902.70135,-18.100475285171225,signal_reversal
entry,2025-03-16 15:15:00,SELL,2.502,20942333381359.453,2619885906008.0674,1047954362.403227,7334632582460.197,2.572056,2.291832,,,
exit,2025-03-16 15:30:00,,2.5248,20942333381359.453,,1057504066.425127,9475975783306.84,,,-478542705161.4238,-18.26578417266199,signal_reversal
entry,2025-03-16 15:30:00,BUY,2.5248,26808278401986.027,3384277065466.716,1353710826.1866863,9474622072480.652,2.4541055999999997,2.7368832000000003,,,
exit,2025-03-16 17:30:00,,2.502,26808278401986.027,,1341486251.2353806,12246328904130.848,,,-612570233816.5209,-18.100475285171225,signal_reversal
entry,2025-03-16 17:30:00,SELL,2.502,34961541921122.605,4373688894332.4375,1749475557.732975,12244579428573.115,2.572056,2.291832,,,
exit,2025-03-16 21:30:00,,2.5248,34961541921122.605,,1765418020.8490071,15819379749083.104,,,-798888573822.4498,-18.265784172662,signal_reversal
entry,2025-03-16 21:30:00,BUY,2.5248,44754265540362.586,5649778481815.373,2259911392.7261496,15817119837690.377,2.4541055999999997,2.7368832000000003,,,
exit,2025-03-16 23:30:00,,2.502,44754265540362.586,,2239503447.639744,20444261561737.836,,,-1022636757767.9136,-18.100475285171225,signal_reversal
entry,2025-03-16 23:30:00,SELL,2.502,58365483503876.336,7301521986334.93,2920608794.533972,20441340952943.3,2.572056,2.291832,,,
exit,2025-03-17 02:30:00,,2.5249,58365483503876.336,,2947340185.978748,26403346026853.46,,,-1339516912424.768,-18.345721822542256,signal_reversal
entry,2025-03-17 02:30:00,BUY,2.5249,74694177497421.16,9429766438161.934,3771906575.264774,26399574120278.195,2.4542028,2.7369916000000005,,,
exit,2025-03-17 02:45:00,,2.5019,74694177497421.16,,3737547253.61596,34107636928745.816,,,-1721703629694.3125,-18.25817893777982,signal_reversal
entry,2025-03-17 02:45:00,SELL,2.5019,97376385172256.78,12181298903123.463,4872519561.249386,34102764409184.566,2.5719532000000003,2.2917404,,,
exit,2025-03-17 03:00:00,,2.5249,97376385172256.78,,4917312698.428623,44039489140647.68,,,-2244574171660.3477,-18.426394340301478,signal_reversal
entry,2025-03-17 03:00:00,BUY,2.5249,124586232950237.34,15728388978802.715,6291355591.521087,44033197785056.16,2.4542028,2.7369916000000005,,,
exit,2025-03-17 03:15:00,,2.5019,124586232950237.34,,6234045924.3639765,56889869360079.03,,,-2871717403779.839,-18.258178937779814,signal_reversal
entry,2025-03-17 03:15:00,SELL,2.5019,162419045411426.78,20317810485742.434,8127124194.296974,56881742235884.734,2.5719532000000003,2.2917404,,,
exit,2025-03-17 05:00:00,,2.5249,162419045411426.78,,8201836955.18623,73455712840209.14,,,-3743839881418.0234,-18.426394340301474,signal_reversal
entry,2025-03-17 05:00:00,BUY,2.5249,207803740007267.62,26234183157217.504,10493673262.887003,73445219166946.25,2.4542028,2.7369916000000005,,,
exit,2025-03-17 07:00:00,,2.5019,207803740007267.62,,10398083542.483658,94889518220454.1,,,-4789884103709.666,-18.258178937779814,signal_reversal
entry,2025-03-17 07:00:00,SELL,2.5019,270907019866198.12,33889113650162.055,13555645460.064823,94875962574994.03,2.5719532000000003,2.2917404,,,
